d6a603c was Danne Connolly, 2 days ago, message: First commit
e169620 was Taylor Otwell, 7 months ago, message: consistency
4a44a0d was Taylor Otwell, 7 months ago, message: no longer need this trait out of the box
9ecfa9c was Taylor Otwell, 7 months ago, message: specify middleware directly
d72e3f3 was Taylor Otwell, 7 months ago, message: fix conflicts
02274da was Taylor Otwell, 7 months ago, message: code formatting
e3bd984 was Kamaro Lambert, 7 months ago, message: Removed unnecessary else
98ca59d was Taylor Otwell, 8 months ago, message: Merge pull request #3826 from ngyikp/master
a2c081f was Ng Yik Phang, 8 months ago, message: Add fallback sans-serif font in case the custom font fails to load
ba1e9ad was Taylor Otwell, 8 months ago, message: Merge pull request #3824 from byCedric/master
cd03204 was Cedric van Putten, 8 months ago, message: Add language line for file validation rule.
c0898cc was Taylor Otwell, 8 months ago, message: Merge pull request #3823 from crynobone/feature/notification
34eb11f was crynobone, 8 months ago, message: [5.3] Password broker would always use notifications::email view.
9575714 was Taylor Otwell, 8 months ago, message: Add notifiable trait to default user.
2051351 was Taylor Otwell, 8 months ago, message: Merge pull request #3822 from halaei/expire-90
d3aff65 was halaei, 8 months ago, message: expire jobs after 90 seconds
d6ca0a6 was Taylor Otwell, 8 months ago, message: Merge pull request #3819 from jrean/patch-1
6e380aa was Taylor Otwell, 8 months ago, message: Merge pull request #3820 from sbine/master
be7b262 was Sara Bine, 8 months ago, message: Make password_resets.created_at nullable
7e4c6e8 was Jean Ragouin, 8 months ago, message: Added session domain env configuration
737b5eb was Taylor Otwell, 8 months ago, message: stub notifications
b787586 was Taylor Otwell, 8 months ago, message: expects json
51addd6 was Taylor Otwell, 8 months ago, message: Merge pull request #3817 from JosephSilber/unauthenticated-json
8e7672f was Joseph Silber, 8 months ago, message: Return JSON for unauthenticated AJAX requests
bd358bd was Taylor Otwell, 8 months ago, message: Merge pull request #3815 from vlakoff/pdo-fetch-style
07c9596 was vlakoff, 8 months ago, message: Use proper PDO fetch style
47d7e2d was Taylor Otwell, 8 months ago, message: Merge pull request #3811 from jerguslejko/fix/supported-drivers-docs
a20533c was Jerguš Lejko, 8 months ago, message: List supported drives in cache and broadcasting configs
e5dfb05 was Taylor Otwell, 8 months ago, message: message updates
edc5cee was Taylor Otwell, 9 months ago, message: Merge branch 'master' into develop
767801a was Taylor Otwell, 9 months ago, message: working on formatting
7259c26 was Michael Dyrynda, 9 months ago, message: Add application log level configuration
bee4dc1 was Taylor Otwell, 9 months ago, message: Merge pull request #3799 from drawmyattention/patch-1
7a449f8 was Amo Chohan, 9 months ago, message: Make TestCase abstract
b6bd185 was Graham Campbell, 9 months ago, message: Merge branch 'master' into develop
f95f384 was Taylor Otwell, 9 months ago, message: Merge pull request #3791 from JosephSilber/authorize-namespace
4f01815 was Joseph Silber, 9 months ago, message: Update can middleware to new namespace
b402405 was Taylor Otwell, 9 months ago, message: Merge pull request #3789 from luqmanrom/master
9352968 was Luqman Rom, 9 months ago, message: Add missing Mandrill secret keys in config.services
19f8537 was Taylor Otwell, 9 months ago, message: fix namespace
233c93f was Taylor Otwell, 9 months ago, message: Merge pull request #3787 from JosephSilber/core-authenticate
9450525 was Joseph Silber, 9 months ago, message: Use the Authenticate middleware from core
cedde2d was Taylor Otwell, 9 months ago, message: cleaning up
3ddaf3f was Taylor Otwell, 9 months ago, message: Merge pull request #3783 from JosephSilber/authenticate
c332ad9 was Taylor Otwell, 9 months ago, message: fix typo
2ed45eb was Taylor Otwell, 9 months ago, message: Merge pull request #3781 from laravel/bindings
d26314d was Joseph Silber, 9 months ago, message: Move the full response logic into the unauthenticated method
b069ff0 was Joseph Silber, 9 months ago, message: update exception handler with AuthenticationException
6dfc022 was Joseph Silber, 9 months ago, message: Make the Authenticate middleware throw an AuthenticationException
b6b948a was Taylor Otwell, 9 months ago, message: Merge pull request #3767 from sadika9/fix_password_reset_guest_middleware
e98a270 was Taylor Otwell, 9 months ago, message: Merge pull request #3780 from laravel/analysis-8LZ3WJ
728151f was Graham Campbell, 9 months ago, message: Applied fixes from StyleCI
332731f was Graham Campbell, 9 months ago, message: Added the new bindings middleware
e7ff2bf was Taylor Otwell, 9 months ago, message: update method
37ce8b5 was Taylor Otwell, 9 months ago, message: Merge pull request #3778 from scrubmx/patch-3
8fc0df1 was Jorge González, 9 months ago, message: Add "sslmode" setting for PostgreSQL connection
0d762a2 was Taylor Otwell, 9 months ago, message: Merge pull request #3775 from themsaid/dimensions-lang-line
6f4c333 was Taylor Otwell, 9 months ago, message: Merge pull request #3777 from Adam14Four/develop
f237656 was Adam14Four, 9 months ago, message: Enabled MySQL "strict" mode by default
59f2d49 was Taylor Otwell, 9 months ago, message: stub out commands method in console kernel
da64a01 was Mohamed Said, 9 months ago, message: Add language line for image dimensions validation rule
a97b9e0 was Taylor Otwell, 10 months ago, message: fix comment
26ef471 was Taylor Otwell, 10 months ago, message: Merge branch 'feature/session-store-config' of https://github.com/tomcastleman/laravel into tomcastleman-feature/session-store-config
81aea74 was Taylor Otwell, 10 months ago, message: Merge branch 'master' into develop
d68d4dc was Tom Castleman, 10 months ago, message: adds configuration for session cache store
f8cddc0 was Taylor Otwell, 10 months ago, message: Merge pull request #3770 from tillkruss/patch-2
382857a was Till Krüss, 10 months ago, message: Use Bootstrap 3.3
b358fe4 was Taylor Otwell, 10 months ago, message: spacing
3173f1c was Taylor Otwell, 10 months ago, message: Merge pull request #3768 from tomcastleman/patch-1
9dc2d60 was Tom Castleman, 10 months ago, message: Add config for new Memcached features
336d80c was Sadika Sumanapala, 10 months ago, message: Get guest middleware using guestMiddleware() method
da662e4 was Taylor Otwell, 10 months ago, message: working on broadcasting
749528d was Taylor Otwell, 10 months ago, message: remove unneeded trait
e3d2b68 was Taylor Otwell, 10 months ago, message: Merge branch 'master' into develop
76b8ef7 was Taylor Otwell, 10 months ago, message: remove post install just in case it causes problems
020bf23 was Graham Campbell, 10 months ago, message: Merge branch 'master' into develop
eee2a8b was Taylor Otwell, 10 months ago, message: Merge pull request #3763 from vinkla/npm
909f063 was Vincent Klaiber, 10 months ago, message: Add npm scripts
d359343 was Taylor Otwell, 10 months ago, message: Merge pull request #3760 from tillkruss/patch-1
cf1c148 was Till Krüss, 10 months ago, message: Switch to `.scss`
2c834ad was Graham Campbell, 10 months ago, message: Respect PSR-2
70f8bb6 was Taylor Otwell, 11 months ago, message: Merge pull request #3738 from laravel/backport
a6e0a2d was Graham Campbell, 11 months ago, message: Backport the composer script fixes
2dd40df was Graham Campbell, 11 months ago, message: Backport the phpunit fixes
3a2cfbc was Graham Campbell, 11 months ago, message: Backport the better faker default
2c44698 was Graham Campbell, 11 months ago, message: Backport some env tweaks
b2ca69f was Graham Campbell, 11 months ago, message: Merge pull request #3737 from laravel/tweak
ce25be1 was Graham Campbell, 11 months ago, message: Tweaked config
9fa63f8 was Graham Campbell, 11 months ago, message: Merge pull request #3733 from jcxm360/patch-1
0d8e71c was Juan Martinez, 11 months ago, message: Update Kernel.php
933e6c6 was Graham Campbell, 11 months ago, message: Merge pull request #3730 from laravel/typo
541e667 was Graham Campbell, 11 months ago, message: Fixed typo
5450b31 was Taylor Otwell, 11 months ago, message: Merge pull request #3725 from laravel/phpunit
72581c0 was Taylor Otwell, 11 months ago, message: Merge pull request #3723 from JosephSilber/authorize-middleware
32318c3 was Taylor Otwell, 11 months ago, message: Merge pull request #3726 from laravel/patch
ae1f392 was Jeffrey Way, 11 months ago, message: Bump package versions
28ea52d was Graham Campbell, 11 months ago, message: Fixed up the phpunit config
39ba051 was Joseph Silber, 11 months ago, message: Add support for the authorize middleware and AuthorizesRequests trait
0909dc2 was Graham Campbell, 11 months ago, message: Merge branch 'master' into develop
b1b524d was Taylor Otwell, 11 months ago, message: Merge pull request #3718 from JosephSilber/default-auth-driver
f7d05cb was Joseph Silber, 11 months ago, message: Set the default driver from the Authenticate middleware
94c9db2 was Taylor Otwell, 11 months ago, message: Merge pull request #3717 from mauri870/5.1
3a555f9 was Mauri de Souza Nunes, 11 months ago, message: Fix clear-compiled on composer install
3fc105d was Taylor Otwell, 11 months ago, message: Merge pull request #3699 from barryvdh/patch-1
8edf580 was Taylor Otwell, 11 months ago, message: Merge pull request #3709 from MadMikeyB/patch-1
fb0f915 was Michael Burton, 11 months ago, message: Update .env.example
cd0a902 was Taylor Otwell, 11 months ago, message: Merge pull request #3698 from dakira/master
1c43882 was Taylor Otwell, 11 months ago, message: Merge pull request #3701 from laravel/analysis-87anp3
34d2509 was Taylor Otwell, 11 months ago, message: Merge pull request #3702 from laravel/analysis-XZl3KP
e316be4 was Taylor Otwell, 11 months ago, message: Applied fixes from StyleCI
a77fa35 was Taylor Otwell, 11 months ago, message: Applied fixes from StyleCI
bcc5435 was Taylor Otwell, 11 months ago, message: add to comment
5c30c98 was Taylor Otwell, 11 months ago, message: just use web group by default
40e5e16 was Barry vd. Heuvel, 11 months ago, message: Use ComposerScripts
1d5e88d was Taylor Otwell, 11 months ago, message: update default routes file
eb7743f was Matthias Niess, 11 months ago, message: allow for setting sqlite database via env
4f4d378 was Taylor Otwell, 11 months ago, message: Merge pull request #3685 from JosephSilber/multi-auth
e52b1f7 was Taylor Otwell, 11 months ago, message: fix wording
9d14fe2 was mzaalan, 11 months ago, message: Set HttpOnly flag
80240e9 was Taylor Otwell, 11 months ago, message: Merge pull request #3690 from kevinsimard/master
a925d6c was Taylor Otwell, 11 months ago, message: Merge pull request #3692 from guilhermegonzaga/patch-1
9234300 was Guilherme de Oliveira Gonzaga, 11 months ago, message: Update of the doc for equals to Model
703197e was Joseph Silber, 11 months ago, message: Allow passing multiple gaurds to the auth middleware
4013369 was Kevin Simard, 11 months ago, message: Ignore schedule files
91c6e71 was Taylor Otwell, 11 months ago, message: Merge pull request #3687 from barryvdh/patch-1
4fec844 was Barry vd. Heuvel, 11 months ago, message: Remove pre-update-cmd
8aa5af7 was Taylor Otwell, 12 months ago, message: Merge branch 'master' into develop
a282304 was Taylor Otwell, 12 months ago, message: Merge remote-tracking branch 'origin/master'
d998b5b was Taylor Otwell, 12 months ago, message: formatting
0da3df2 was Taylor Otwell, 12 months ago, message: Merge pull request #3682 from jadjoubran/patch-1
590593e was Jad Joubran, 12 months ago, message: Fixed order of password validation in registration
f748799 was Taylor Otwell, 12 months ago, message: Merge pull request #3678 from themsaid/add-land-line-for-in_array
da5d3d8 was Davide Bellini, 12 months ago, message: Added SparkPost config
789c75c was Mohamed Said, 12 months ago, message: Add language line for the in_array validation rule
ec0e06e was Taylor Otwell, 12 months ago, message: cleaning up configs
8dbd260 was TGM, 12 months ago, message: Replaced TAB with space
9fc55e8 was TGM, 12 months ago, message: Added DB_PORT as a default enviroment variable
fc12337 was Taylor Otwell, 12 months ago, message: Merge pull request #3675 from yava9221/master
b516300 was yava9221, 12 months ago, message: clearing redundancy
7093812 was Taylor Otwell, 12 months ago, message: Merge pull request #3674 from themsaid/language-for-distinct
c36799d was Mohamed Said, 12 months ago, message: Add language line to the validation "distinct" rule
83fd3f2 was Taylor Otwell, 12 months ago, message: Merge pull request #3672 from themsaid/add-language-line-for-present-validation-rule
fa6c48d was Mohamed Said, 12 months ago, message:      keep the lines sorted
ef6b5a6 was Mohamed Said, 12 months ago, message: Add language line for the "present" validation rule.
aa07b0c was Taylor Otwell, 12 months ago, message: Merge pull request #3670 from SammyK/password-column-fix
531629e was SammyK, 12 months ago, message: Fix password column for future hashing
754d78e was Taylor Otwell, 12 months ago, message: Merge remote-tracking branch 'origin/master'
62d62a0 was Taylor Otwell, 12 months ago, message: update method call
dec3926 was Taylor Otwell, 12 months ago, message: Merge pull request #3668 from lucasmichot/feature/master/eof
73c6898 was Lucas Michot, 12 months ago, message: Ensure files finish with a LB
413c88f was Graham Campbell, 12 months ago, message: Merge pull request #3666 from krienow/patch-56c8bf
e8e73c8 was krienow, 12 months ago, message: Add newline character.
e4f7ff9 was Taylor Otwell, 12 months ago, message: Merge pull request #3661 from AdenFraser/AppUrlEnv
278c418 was Aden Fraser, 12 months ago, message: APP_URL added to Environment Configuration
770f8a7 was Taylor Otwell, 1 year ago, message: Merge pull request #3660 from anthonyholmes/master
94b568b was Anthony Holmes, 1 year ago, message: Rename commented default seeder call
b1ccb8f was Taylor Otwell, 1 year ago, message: Merge pull request #3659 from camilorojas/patch-1
0ab4b1d was Camilo Rojas, 1 year ago, message: MIssing point
40f9630 was Taylor Otwell, 1 year ago, message: Merge pull request #3658 from martinbean/patch-2
00e5c44 was Martin Bean, 1 year ago, message: Use safeEmail instead
c751b33 was Taylor Otwell, 1 year ago, message: add to gitignore
